Country_code,Population_2015
ABW,104341
AFG,33736494
AGO,27859305
ALB,2880703
AND,78014
ARB,398304960
ARE,9154302
ARG,43417765
ARM,2916950
ASM,55537
ATG,99923
AUS,23789338
AUT,8633169
AZE,9649341
BDI,10199270
BEL,11274196
BEN,10575952
BFA,18110624
BGD,161200886
BGR,7177991
BHR,1371855
BHS,386838
BIH,3535961
BLR,9489616
BLZ,359288
BMU,65235
BOL,10724705
BRA,205962108
BRB,284217
BRN,417542
BTN,787386
BWA,2209197
CAF,4546100
CAN,35848610
CEB,103257751
CHE,8282396
CHI,163758
CHL,17762681
CHN,1371220000
CIV,23108472
CMR,22834522
COD,76196619
COG,4995648
COL,48228697
COM,777424
CPV,532913
CRI,4807852
CSS,7204948
CUB,11461432
CUW,157979
CYM,59963
CYP,1160985
CZE,10546059
DEU,81686611
DJI,927414
DMA,73162
DNK,5683483
DOM,10528394
DZA,39871528
EAP,2036552598
EAR,3127290268.68203
EAS,2281203360
ECA,414975737
ECS,907424836
ECU,16144368
EGY,93778172
EMU,339519210
ESP,46447697
EST,1315407
ETH,99873033
EUU,509703315
FCS,493919601
FIN,5479531
FJI,892149
FRA,66624068
FRO,48965
FSM,104433
GAB,1930175
GBR,65128861
GEO,3717100
GHA,27582821
GIB,34228
GIN,12091533
GMB,1977590
GNB,1770526
GNQ,1175389
GRC,10820883
GRD,106823
GRL,56114
GTM,16252429
GUM,161797
GUY,768514
HIC,1182929820
HKG,7305700
HND,8960829
HPC,724482652
HRV,4203604
HTI,10711061
HUN,9843028
IBD,4652578286.68203
IBT,6191917217.68203
IDA,1539338931
IDB,509396383
IDN,258162113
IDX,1029942548
IMN,83167
IND,1309053980
IRL,4676835
IRN,79360487
IRQ,36115649
ISL,330815
ISR,8380100
ITA,60730582
JAM,2871934
JOR,9159302
JPN,127141000
KAZ,17544126
KEN,47236259
KGZ,5956900
KHM,15517635
KIR,112407
KNA,54288
KOR,51014947
KWT,3935794
LAC,603644865
LAO,6663967
LBN,5851479
LBR,4499621
LBY,6234955
LCA,177206
LCN,631058524
LDC,956631108
LIC,641858608
LIE,37403
LKA,20966000
LMC,2970020158
LMY,6172290591.68203
LSO,2174645
LTE,2248927194
LTU,2904910
LUX,569604
LVA,1977527
MAC,600942
MAF,31754
MAR,34803322
MCO,38307
MDA,3554108
MDG,24234088
MDV,409163
MEA,428961724
MEX,125890949
MHL,52994
MIC,5530431983.68203
MKD,2079308
MLI,17467905
MLT,431874
MMR,52403669
MNA,367449306
MNE,622159
MNG,2976877
MNP,54816
MOZ,28010691
MRT,4182341
MUS,1262605
MWI,17573607
MYS,30723155
NAC,356810463
NAM,2425561
NCL,273000
NER,19896965
NGA,181181744
NIC,6082035
NLD,16939923
NOR,5188607
NPL,28656282
NRU,12475
NZL,4595700
OED,1281401703
OMN,4199810
OSS,29374084
PAK,189380513
PAN,3969249
PER,31376671
PHL,101716359
PLW,21288
PNG,7919825
POL,37986412
PRE,854646007
PRI,3473181
PRK,25243917
PRT,10358076
PRY,6639119
PSE,4422143
PSS,2358955
PST,1097570905
PYF,277690
QAT,2481539
ROU,19815481
RUS,144096870
RWA,11629553
SAS,1744190704
SAU,31557144
SDN,38647803
SEN,14976994
SGP,5535002
SLB,587482
SLE,7237025
SLV,6312478
SMR,32960
SOM,13908129
SRB,7095383
SSA,1005477381.68203
SSD,11882136
SSF,1005570800.68203
SST,38937987
STP,195553
SUR,553208
SVK,5423801
SVN,2063531
SWE,9799186
SWZ,1319011
SXM,38824
SYC,93419
SYR,18734987
TCA,34339
TCD,14009413
TEA,2011274432
TEC,452962149
TGO,7416802
THA,68657600
TJK,8548651
TKM,5565284
TLA,614891969
TLS,1240977
TMN,363027163
TON,106364
TSA,1744190704
TSS,1005570800.68203
TTO,1360092
TUN,11273661
TUR,78271472
TUV,11001
TZA,53879957
UGA,40144870
UKR,45154029
UMC,2560411825.68203
URY,3431552
USA,320896618
UZB,31298900
VCT,109455
VEN,31155134
VGB,30113
VIR,103574
VNM,91713300
VUT,264603
WLD,7355220411.68203
WSM,193759
XKX,1801800
YEM,26916207
ZAF,55011976.6820294
ZMB,16100587
ZWE,15777451
