Country_code,Life_E_2015
ABW,75.594
AFG,63.298
AGO,61.189
ALB,78.203
ARB,71.028
ARE,77.484
ARG,76.293
ARM,74.206
ATG,76.076
AUS,82.451
AUT,81.844
AZE,71.845
BDI,57.069
BEL,81.288
BEN,60.585
BFA,59.845
BGD,72.222
BGR,74.466
BHR,76.865
BHS,75.369
BIH,76.640
BLR,73.624
BLZ,70.311
BMU,81.012
BOL,68.750
BRA,75.199
BRB,75.638
BRN,77.067
BTN,69.807
BWA,65.751
CAF,51.378
CAN,82.129
CEB,77.027
CHE,83.198
CHI,80.885
CHL,79.161
CHN,76.117
CIV,53.078
CMR,57.558
COD,59.173
COG,64.091
COL,74.156
COM,63.461
CPV,72.435
CRI,79.609
CSS,73.048
CUB,79.544
CYP,80.291
CZE,79.473
DEU,81.090
DJI,62.250
DNK,81.100
DOM,73.704
DZA,75.855
EAP,74.342
EAR,69.528
EAS,75.256
ECA,72.467
ECS,77.395
ECU,76.082
EGY,71.296
EMU,82.070
ERI,64.624
ESP,83.380
EST,77.132
ETH,65.008
EUU,81.126
FCS,62.049
FIN,81.385
FJI,70.224
FRA,82.671
FRO,81.634
FSM,69.047
GAB,65.684
GBR,81.605
GEO,72.966
GHA,62.407
GIN,59.399
GMB,60.957
GNB,56.950
GNQ,57.508
GRC,81.588
GRD,73.500
GTM,73.043
GUM,79.378
GUY,66.539
HIC,80.741
HKG,84.278
HND,73.325
HPC,61.622
HRV,77.276
HTI,63.011
HUN,75.961
IBD,72.555
IBT,70.248
IDA,63.275
IDB,61.358
IDN,69.039
IDX,64.223
IND,68.333
IRL,81.502
IRN,75.743
IRQ,69.635
ISL,82.861
ISR,82.051
ITA,83.490
JAM,75.807
JOR,74.191
JPN,83.844
KAZ,72.000
KEN,66.646
KGZ,70.651
KHM,68.472
KIR,66.052
KOR,82.156
KWT,74.747
LAC,75.130
LAO,66.284
LBN,79.498
LBR,61.980
LBY,71.830
LCA,75.284
LCN,75.271
LDC,64.065
LIC,62.060
LIE,82.073
LKA,74.989
LMC,67.705
LMY,70.193
LSO,53.570
LTE,75.523
LTU,75.120
LUX,82.229
LVA,74.124
MAC,83.595
MAF,79.471
MAR,75.520
MDA,71.371
MDG,65.508
MDV,77.120
MEA,73.322
MEX,76.881
MIC,71.137
MKD,75.524
MLI,57.458
MLT,81.946
MMR,66.386
MNA,72.795
MNE,76.864
MNG,69.116
MOZ,57.609
MRT,63.046
MUS,74.353
MWI,62.543
MYS,75.220
NAC,79.082
NAM,63.636
NCL,77.773
NER,59.682
NGA,52.978
NIC,75.038
NLD,81.707
NOR,82.100
NPL,69.870
NZL,81.457
OED,80.283
OMN,77.122
OSS,67.331
PAK,66.332
PAN,77.817
PER,74.713
PHL,69.010
PNG,65.388
POL,78.205
PRE,59.503
PRI,79.596
PRK,71.239
PRT,81.522
PRY,73.043
PSE,73.302
PSS,70.753
PST,80.646
PYF,76.692
QAT,78.463
ROU,74.961
RUS,70.909
RWA,66.621
SAS,68.485
SAU,74.574
SDN,64.229
SEN,66.661
SGP,82.595
SLB,70.477
SLE,51.413
SLV,73.003
SOM,55.873
SRB,75.488
SSA,59.901
SSD,56.303
SSF,59.902
SST,68.577
STP,66.417
SUR,71.286
SVK,77.212
SVN,81.078
SWE,82.551
SWZ,56.912
SYC,73.229
SYR,70.253
TCD,52.554
TEA,74.381
TEC,72.948
TGO,59.924
THA,75.068
TJK,71.007
TKM,67.641
TLA,75.166
TLS,68.580
TMN,72.789
TON,72.840
TSA,68.485
TSS,59.902
TTO,70.589
TUN,75.497
TUR,75.407
TZA,64.903
UGA,59.509
UKR,71.190
UMC,75.119
URY,77.132
USA,78.741
UZB,71.146
VCT,73.065
VEN,74.392
VIR,79.873
VNM,75.891
VUT,71.985
WLD,71.889
WSM,74.839
XKX,71.346
YEM,64.726
ZAF,61.934
ZMB,61.340
ZWE,60.279
