Country_code,INDICATOR,SUBJECT,Year,SCIENCE2015
AUS,PISASCIENCE,TOT,2015,510
AUT,PISASCIENCE,TOT,2015,495
BEL,PISASCIENCE,TOT,2015,502
CAN,PISASCIENCE,TOT,2015,528
CZE,PISASCIENCE,TOT,2015,493
DNK,PISASCIENCE,TOT,2015,502
FIN,PISASCIENCE,TOT,2015,531
FRA,PISASCIENCE,TOT,2015,495
DEU,PISASCIENCE,TOT,2015,509
GRC,PISASCIENCE,TOT,2015,455
HUN,PISASCIENCE,TOT,2015,477
ISL,PISASCIENCE,TOT,2015,473
IRL,PISASCIENCE,TOT,2015,503
ITA,PISASCIENCE,TOT,2015,481
JPN,PISASCIENCE,TOT,2015,538
KOR,PISASCIENCE,TOT,2015,516
LUX,PISASCIENCE,TOT,2015,483
MEX,PISASCIENCE,TOT,2015,416
NLD,PISASCIENCE,TOT,2015,509
NZL,PISASCIENCE,TOT,2015,513
NOR,PISASCIENCE,TOT,2015,498
POL,PISASCIENCE,TOT,2015,501
PRT,PISASCIENCE,TOT,2015,501
SVK,PISASCIENCE,TOT,2015,461
ESP,PISASCIENCE,TOT,2015,493
SWE,PISASCIENCE,TOT,2015,493
CHE,PISASCIENCE,TOT,2015,506
TUR,PISASCIENCE,TOT,2015,425
GBR,PISASCIENCE,TOT,2015,509
USA,PISASCIENCE,TOT,2015,496
BRA,PISASCIENCE,TOT,2015,401
CHL,PISASCIENCE,TOT,2015,447
EST,PISASCIENCE,TOT,2015,534
IDN,PISASCIENCE,TOT,2015,403
ISR,PISASCIENCE,TOT,2015,467
LVA,PISASCIENCE,TOT,2015,490
SVN,PISASCIENCE,TOT,2015,513
OAVG,PISASCIENCE,TOT,2015,493
COL,PISASCIENCE,TOT,2015,416
HKG,PISASCIENCE,TOT,2015,523
PER,PISASCIENCE,TOT,2015,397
SGP,PISASCIENCE,TOT,2015,556
TWN,PISASCIENCE,TOT,2015,532
MAC,PISASCIENCE,TOT,2015,529
