Country_code,MATH2015,READ2015,SCIENCE2015,GDP_2015,Population_2015
AUS,494,503,510,56408.3404284049,23789338
AUT,497,485,495,44255.5833562366,8633169
BEL,507,499,502,40375.3886393001,11274196
CAN,516,527,528,43335.1591057924,35848610
CZE,492,487,493,17715.6168523009,10546059
DNK,511,500,502,53012.9965835008,5683483
FIN,511,526,531,42419.5655667694,5479531
FRA,493,499,495,36526.7701083069,66624068
DEU,506,509,509,41323.921502169,81686611
GRC,454,467,455,18070.7767788584,10820883
HUN,477,470,477,12483.8659406349,9843028
ISL,488,482,473,50734.4435967226,330815
IRL,504,521,503,62544.631291054,4676835
ITA,490,485,481,30171.7419892586,60730582
JPN,532,516,538,34474.1373599536,127141000
KOR,524,517,516,27105.076226264,51014947
LUX,486,481,483,101446.786303182,569604
MEX,408,423,416,9152.87230583878,125890949
NLD,512,503,509,44746.3340485236,16939923
NZL,495,509,513,38201.5745534488,4595700
NOR,502,513,498,74498.13763927,5188607
POL,504,506,501,12564.48352518,37986412
PRT,492,498,501,19252.6349536042,10358076
SVK,475,453,461,16132.8603100425,5423801
ESP,486,496,493,25789.5195481476,46447697
SWE,494,500,493,50812.1908597713,9799186
CHE,521,492,506,82016.0213129432,8282396
TUR,420,428,425,10984.7707619208,78271472
GBR,492,498,509,44305.5546320834,65128861
USA,470,497,496,56469.0089691129,320896618
BRA,377,407,401,8757.20620228724,205962108
CHL,423,459,447,13653.2263998697,17762681
EST,520,519,534,17155.8741759995,1315407
IDN,386,397,403,3336.10668610138,258162113
ISR,470,479,467,35691.2691649056,8380100
LVA,482,488,490,13658.0850281401,1977527
RUS,494,495,,9329.29071323649,144096870
SVN,510,505,513,20873.1611094925,2063531
OAVG,490,493,493,,
COL,390,425,416,6044.52565531043,48228697
HKG,548,527,523,42434.6660251356,7305700
PER,387,398,397,6030.34325949661,31376671
SGP,564,535,556,53629.7374603324,5535002
TWN,542,497,532,,
MAC,544,509,529,75484.2865809425,600942
