Country_code,MATH2015,READ2015,SCIENCE2015,GDP_2015,Population_2015,Life_E_2015
AUS,494.0,503.0,510.0,56408.3404284049,23789338.0,82.4512195121951
AUT,497.0,485.0,495.0,44255.5833562366,8633169.0,81.8439024390244
BEL,507.0,499.0,502.0,40375.3886393001,11274196.0,81.2878048780488
CAN,516.0,527.0,528.0,43335.1591057924,35848610.0,82.1290243902439
CZE,492.0,487.0,493.0,17715.6168523009,10546059.0,79.4731707317073
DNK,511.0,500.0,502.0,53012.996583500804,5683483.0,81.1
FIN,511.0,526.0,531.0,42419.5655667694,5479531.0,81.3853658536585
FRA,493.0,499.0,495.0,36526.7701083069,66624068.0,82.67073170731709
DEU,506.0,509.0,509.0,41323.921502168996,81686611.0,81.090243902439
GRC,454.0,467.0,455.0,18070.776778858402,10820883.0,81.5878048780488
HUN,477.0,470.0,477.0,12483.8659406349,9843028.0,75.9609756097561
ISL,488.0,482.0,473.0,50734.443596722595,330815.0,82.8609756097561
IRL,504.0,521.0,503.0,62544.63129105401,4676835.0,81.5024390243902
ITA,490.0,485.0,481.0,30171.7419892586,60730582.0,83.490243902439
JPN,532.0,516.0,538.0,34474.1373599536,127141000.0,83.84365853658541
KOR,524.0,517.0,516.0,27105.076226264,51014947.0,82.1558536585366
LUX,486.0,481.0,483.0,101446.78630318199,569604.0,82.2292682926829
MEX,408.0,423.0,416.0,9152.872305838779,125890949.0,76.8813658536586
NLD,512.0,503.0,509.0,44746.334048523604,16939923.0,81.7073170731707
NZL,495.0,509.0,513.0,38201.5745534488,4595700.0,81.45682926829271
NOR,502.0,513.0,498.0,74498.13763927,5188607.0,82.1
POL,504.0,506.0,501.0,12564.48352518,37986412.0,78.2048780487805
PRT,492.0,498.0,501.0,19252.6349536042,10358076.0,81.5219512195122
SVK,475.0,453.0,461.0,16132.8603100425,5423801.0,77.2121951219512
ESP,486.0,496.0,493.0,25789.519548147597,46447697.0,83.38048780487809
SWE,494.0,500.0,493.0,50812.1908597713,9799186.0,82.55121951219509
CHE,521.0,492.0,506.0,82016.02131294321,8282396.0,83.1975609756098
TUR,420.0,428.0,425.0,10984.7707619208,78271472.0,75.40709756097559
GBR,492.0,498.0,509.0,44305.5546320834,65128861.0,81.60487804878049
USA,470.0,497.0,496.0,56469.0089691129,320896618.0,78.7414634146342
BRA,377.0,407.0,401.0,8757.206202287241,205962108.0,75.1991219512195
CHL,423.0,459.0,447.0,13653.2263998697,17762681.0,79.1606829268293
EST,520.0,519.0,534.0,17155.8741759995,1315407.0,77.13170731707321
IDN,386.0,397.0,403.0,3336.10668610138,258162113.0,69.0386341463415
ISR,470.0,479.0,467.0,35691.2691649056,8380100.0,82.05121951219509
LVA,482.0,488.0,490.0,13658.0850281401,1977527.0,74.12439024390241
RUS,494.0,495.0,,9329.29071323649,144096870.0,70.90853658536591
SVN,510.0,505.0,513.0,20873.1611094925,2063531.0,81.07804878048779
OAVG,490.0,493.0,493.0,,,
COL,390.0,425.0,416.0,6044.52565531043,48228697.0,74.1561951219512
HKG,548.0,527.0,523.0,42434.6660251356,7305700.0,84.2780487804878
PER,387.0,398.0,397.0,6030.34325949661,31376671.0,74.7134146341463
SGP,564.0,535.0,556.0,53629.7374603324,5535002.0,82.5951219512195
TWN,542.0,497.0,532.0,,,
MAC,544.0,509.0,529.0,75484.2865809425,600942.0,83.59490243902441
