"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PISAREAD","TOT","MEANSCORE","A","2015",503,
"AUT","PISAREAD","TOT","MEANSCORE","A","2015",485,
"BEL","PISAREAD","TOT","MEANSCORE","A","2015",499,
"CAN","PISAREAD","TOT","MEANSCORE","A","2015",527,
"CZE","PISAREAD","TOT","MEANSCORE","A","2015",487,
"DNK","PISAREAD","TOT","MEANSCORE","A","2015",500,
"FIN","PISAREAD","TOT","MEANSCORE","A","2015",526,
"FRA","PISAREAD","TOT","MEANSCORE","A","2015",499,
"DEU","PISAREAD","TOT","MEANSCORE","A","2015",509,
"GRC","PISAREAD","TOT","MEANSCORE","A","2015",467,
"HUN","PISAREAD","TOT","MEANSCORE","A","2015",470,
"ISL","PISAREAD","TOT","MEANSCORE","A","2015",482,
"IRL","PISAREAD","TOT","MEANSCORE","A","2015",521,
"ITA","PISAREAD","TOT","MEANSCORE","A","2015",485,
"JPN","PISAREAD","TOT","MEANSCORE","A","2015",516,
"KOR","PISAREAD","TOT","MEANSCORE","A","2015",517,
"LUX","PISAREAD","TOT","MEANSCORE","A","2015",481,
"MEX","PISAREAD","TOT","MEANSCORE","A","2015",423,
"NLD","PISAREAD","TOT","MEANSCORE","A","2015",503,
"NZL","PISAREAD","TOT","MEANSCORE","A","2015",509,
"NOR","PISAREAD","TOT","MEANSCORE","A","2015",513,
"POL","PISAREAD","TOT","MEANSCORE","A","2015",506,
"PRT","PISAREAD","TOT","MEANSCORE","A","2015",498,
"SVK","PISAREAD","TOT","MEANSCORE","A","2015",453,
"ESP","PISAREAD","TOT","MEANSCORE","A","2015",496,
"SWE","PISAREAD","TOT","MEANSCORE","A","2015",500,
"CHE","PISAREAD","TOT","MEANSCORE","A","2015",492,
"TUR","PISAREAD","TOT","MEANSCORE","A","2015",428,
"GBR","PISAREAD","TOT","MEANSCORE","A","2015",498,
"USA","PISAREAD","TOT","MEANSCORE","A","2015",497,
"BRA","PISAREAD","TOT","MEANSCORE","A","2015",407,
"CHL","PISAREAD","TOT","MEANSCORE","A","2015",459,
"EST","PISAREAD","TOT","MEANSCORE","A","2015",519,
"IDN","PISAREAD","TOT","MEANSCORE","A","2015",397,
"ISR","PISAREAD","TOT","MEANSCORE","A","2015",479,
"LVA","PISAREAD","TOT","MEANSCORE","A","2015",488,
"RUS","PISAREAD","TOT","MEANSCORE","A","2015",495,
"SVN","PISAREAD","TOT","MEANSCORE","A","2015",505,
"OAVG","PISAREAD","TOT","MEANSCORE","A","2015",493,
"COL","PISAREAD","TOT","MEANSCORE","A","2015",425,
"HKG","PISAREAD","TOT","MEANSCORE","A","2015",527,
"PER","PISAREAD","TOT","MEANSCORE","A","2015",398,
"SGP","PISAREAD","TOT","MEANSCORE","A","2015",535,
"TWN","PISAREAD","TOT","MEANSCORE","A","2015",497,
"MAC","PISAREAD","TOT","MEANSCORE","A","2015",509,
